"Treatment","Replicate","Mobility","date"
"Ax",1,6.41969545612409e-08,"2021-12-31"
"Ax",2,6.65445463329414e-08,"2021-12-31"
"Ax",3,6.12482567007521e-08,"2021-12-31"
"+13C1",1,5.99032909870277e-08,"2021-12-31"
"+13C1",2,6.12878696340642e-08,"2021-12-31"
"+13C1",3,6.96812386094559e-08,"2021-12-31"
"+1R1",1,6.41483165503348e-08,"2021-12-31"
"+1R1",2,5.84418500089637e-08,"2021-12-31"
"+1R1",3,6.23216498138688e-08,"2021-12-31"
